sigma_r;sigma_p;sigma_0
9.307744201608132;4.653872100804066;0.0
10.873642964555078;242.02424177115338;236.58742028887585
80.10595827428908;229.0011832237734;188.94820408662886
90.86233037851527;271.41408305005433;225.9829178607967
113.33115823928985;259.6472131357492;202.9816340161043
129.50165279122552;286.5376028107196;221.78677641510683
168.00336371057898;285.2389536208972;201.2372717656077
169.01257413281215;292.21960451029406;207.713317443888
190.14818373549244;287.0069372726439;191.93284540489765
190.405881493675;294.9865618629934;199.78362111615593
194.34350930658144;292.0965668901769;194.9248122368862
238.9234261972149;306.36810360238013;186.90639050377268
273.31843755495646;307.62554961665165;170.96633083917342
293.07402735909443;315.0849274743223;168.54791379477507
322.80361573200275;318.27856885284507;156.8767609868437
350.55590070286394;324.3349807013229;149.0570303498909
378.51855880794926;324.2520074277913;134.99272802381665
381.8127247526756;329.9658786006856;139.0595162243478
406.9045604073271;334.42258159614806;130.97030139248452
409.61641835833177;338.2647310643596;133.4565218851937
430.1406010124112;338.84817715775034;123.77787665154474
478.0675009890533;346.68447805246393;107.65072755793727
482.75109513241784;344.4854476226672;103.10990005645829
511.6777236607289;352.06759930898573;96.2287374786213
526.2192157441834;355.1497929977616;92.0401851256699
563.7274436676756;365.3548818696356;83.4911600357978
626.1425741489104;380.24930144995506;67.17801437549986
632.0651901214684;382.398974588596;66.3663795278618
664.5560601661717;390.5763062723618;58.29827618927595
674.5744746638742;393.2100115563644;55.922774224427314
705.5602953965605;401.7291771104709;48.94902941219067
706.7191135003625;403.08824050444315;49.72868375426191
708.4238101377504;404.03828823400215;49.82638316512697
713.5165313110756;406.41590848533383;49.65764282979603
724.8148021709626;409.3937737819416;46.98637269646031
725.5591776490926;410.3061499454511;47.52656112090483
726.0166128461724;410.6022296830158;47.593923259929625
728.4292312406483;411.87322072318995;47.658605102865806
736.8208607187249;414.19918571050255;45.78875535114008
737.4269132645259;414.9178557315314;46.20439909926847
742.4453705166941;416.62782462788783;45.40513936954079
749.5006356893666;419.57280544158607;44.82248759690276
750.0221993339541;419.5087751416791;44.49767547470208
754.3658337691552;421.13390736447496;43.95099047989737
756.0532994569867;420.73105028964045;42.70440056114711
758.2159480808114;422.844977076335;43.73700303592932
764.4215376754275;423.93507663458837;41.7243077968746
768.1953846282819;426.41509261787473;42.31740030373379
769.0042664834843;425.63879888260806;41.136665640865886
769.6582501545977;424.86729707566906;40.03817199837022
774.5493795791638;425.5397664520069;38.26507666242503
776.982741578131;427.69277062991836;39.201399840852844
779.8169284193469;429.9015608701416;39.993096660468154
782.0311241079537;431.86665719404436;40.851095140067514
788.359532899362;432.8779595310539;38.69819308137289
789.6098363489772;434.87767711525817;40.072758940769575
795.5901851546191;435.6329085119795;37.83781593466995
796.6968859708523;437.6059737976543;39.25753081222814
798.7393736887075;436.68441365797514;37.314726813621405
806.8661010472481;441.32553701298644;37.8924864893624
807.0947296883454;440.2172941782459;36.669929334073174
809.0127955857739;442.458243267268;37.95184547438106
812.2351758584679;441.85623594519564;35.7386480159617
827.2851248108983;449.40194829586585;35.759385890416695
831.1885013053039;449.31232625548927;33.7180756028373
836.099552401567;452.7657698726664;34.71599367188287
837.9989642641287;452.19644379915167;33.196961667087294
846.1669286882735;456.72699005409515;33.643525709958396
850.4821655546909;457.0283614322459;31.787278654900433
856.9347720931403;460.9357829473659;32.46839690079577
858.2496641848386;460.4900789571896;31.365246864770313
859.8582442846758;461.95997398062593;32.030851838288015
