step;S_p
1;-0.0
2;165.693577173
3;30.4978769766
4;154.972246522
5;31.7810788014
6;174.195378415
7;42.8813882842
8;129.925374854
9;22.451424188
10;149.676398304
11;56.1526516441
12;156.561649168
13;36.5581863106
14;149.629601605
15;69.7280372023
16;123.343977873
17;5.73120006265
18;199.171069353
19;107.731473863
20;183.652618823
21;26.4273527163
22;86.8459370735
23;-3.39564632536
24;161.103254617
25;99.431104662
26;181.134096675
27;64.2160261767
28;124.552589972
29;26.9153201337
30;67.9883861202
31;-4.74756811945
32;161.299933032
33;122.000039833
34;147.405199425
35;25.7405119806
36;150.161385621
37;107.605461085
38;136.422064544
39;42.0092033166
40;145.435164133
41;92.1398651724
42;145.481106133
43;70.1197732593
44;106.063004316
45;-20.3364856058
46;254.82710103
47;-44.5546241516
48;236.834940376
49;-43.1127544567
50;-40.1608669151
51;-64.0638619072
52;263.588153904
53;260.139652258
54;267.602305246
55;-109.249048806
56;338.557011881
57;-144.483068687
58;356.06174397
59;-190.523943554
60;366.962836427
61;-117.662955014
62;374.797322941
63;-247.963651486
64;428.882244853
65;-232.23296991
66;413.827185574
67;-184.991214517
68;379.809423432
69;-226.115777602
70;402.92795852
71;-135.954053819
72;297.016653971
73;-129.437587623
74;390.835423592
75;-134.821703734
76;325.028793495
77;-160.670384448
78;334.9654486
79;-174.218545924
80;349.566449974
81;-161.315043653
82;425.099192732
83;-190.032216424
84;333.576036363
85;-123.141588829
86;352.063849272
87;-210.008976259
88;442.022687388
89;-251.565031939
90;446.451118865
91;-226.102053607
92;359.371969508
93;-164.760507969
94;387.00185532
95;-182.704979719
96;356.973126037
97;-149.34934799
98;336.56226997
99;-139.147592142
100;324.749801475
101;-118.801702072
102;316.396618385
103;-124.003054969
104;301.407666503
105;-109.826570703
106;297.424991507
107;-109.076092454
108;296.206904974
109;-91.061653253
110;288.372947113
111;-86.7334592295
112;273.35839204
