S_r;S_0;n_i
23.517624532000013;0.0;1.0
29.111958888999993;152.776947352;1.0
35.998330605999996;136.68669520699999;1.0
73.12756448299999;175.705300123;1.0
122.34880613599998;171.4544578894;1.0
128.780161365;191.55562367783332;1.0
137.61036366500002;145.0006058177143;1.0
188.25492395400002;168.701276384375;1.0
232.17703842499998;184.5220618771111;1.0
253.1105596205;210.71579012849998;1.0
277.84518628;176.89237578081816;1.0
301.71359120529996;195.69778030566667;1.0
305.8475214756;174.0595755561;1.0
314.3380365623;194.6338834100214;1.0
333.44531473269996;171.75070057381998;1.0
369.8136998468;196.33147224726872;0.5
439.883396047;182.57735590612938;0.5
472.2615850331;193.68159499356665;0.5
488.1561115177;192.85496911885264;1.0
530.4334337721;198.22844613841;0.5
539.0925443131;196.03872874815238;1.0
580.788845734;196.38179894914546;0.5
606.73938828;195.42929961574785;0.5
607.801112087;196.67690985784165;0.5
610.713744644;195.15785121472797;1.0
726.384815045;195.14019441362305;0.5
772.0857705889999;190.43558065451478;0.5
832.769106836;201.54873987260356;0.5
910.4148871309999;185.36685023951375;0.5
