time;VM;P11;P22;S
0.0;0.0;0.0;0.0;-0.0
0.1;118.994780796;135.280298434;63.9307589884;118.994780796
0.2;312.012770185;354.925822691;168.25908443;312.012770185
0.3;256.703451466;292.327069787;138.008084287;256.703451466
0.4;126.479128745;144.179946228;67.4346023162;126.479128745
0.5;233.567594899;265.534213035;126.589624937;233.567594899
0.6;293.868601489;333.97099514;159.26313162;293.868601489
0.7;168.665677417;192.122008093;89.8737887496;168.665677417
0.8;160.040697475;182.593413835;84.1175902463;160.040697475
0.9;267.946666009;304.655243521;145.04422024;267.946666009
1.0;229.34186905;258.572927482;126.210620191;229.34186905
1.1;113.404301486;124.566567208;59.5985539051;113.404301486
1.2;97.9294626719;109.546378851;49.9279841578;97.9294626719
1.3;153.434692124;175.051038148;76.1907613064;153.434692124
1.4;244.755115841;280.254172216;124.662006163;244.755115841
1.5;401.992676214;460.169136325;214.624640178;401.992676214
1.6;528.465086224;604.892840591;284.275095916;528.465086224
1.7;506.430702838;580.301771019;267.710090897;506.430702838
1.8;388.806301126;445.65974583;201.169481005;388.806301126
1.9;271.903317322;311.12815799;141.824817799;271.903317322
2.0;177.714080151;201.298460785;95.7107002299;177.714080151
2.1;96.0339287581;101.344341582;39.6528024439;96.0339287581
2.2;84.6850790126;17.9865128553;-73.5257067426;-84.6850790126
2.3;172.45275719;-56.4345722476;-193.270847852;-172.45275719
2.4;190.955029934;-85.0984897704;-218.540215558;-190.955029934
2.5;93.8801150088;-33.3808902467;-105.830522978;-93.8801150088
2.6;107.945784856;118.799641804;55.4218137696;107.945784856
2.7;310.02321093;353.553615023;168.956468665;310.02321093
2.8;479.152030263;548.860852721;254.173187817;479.152030263
2.9;565.804061438;649.042462582;290.097484432;565.804061438
3.0;594.632930491;682.266560414;299.35534051;594.632930491
3.1;604.78947809;693.84811017;310.682252671;604.78947809
3.2;540.465688433;618.991901202;288.817590218;540.465688433
3.3;336.956831869;383.471502378;185.843573149;336.956831869
3.4;72.8764910491;76.5053359058;27.9119115798;72.8764910491
3.5;148.715852034;-69.5034946698;-170.637549324;-148.715852034
3.6;207.915642296;-99.4343866564;-238.769459049;-207.915642296
3.7;140.045206063;-42.3084597792;-156.02220106;-140.045206063
3.8;79.3446973746;70.7671973431;4.66259399141;79.3446973746
3.9;189.045088149;211.961523612;103.179945213;189.045088149
4.0;273.375138407;312.574062811;144.274162854;273.375138407
4.1;346.748828984;397.335342291;179.277480299;346.748828984
4.2;415.745464088;476.121833744;219.983315955;415.745464088
4.3;436.137204092;499.314329317;232.367559315;436.137204092
4.4;403.164524662;462.050825116;209.903923396;403.164524662
4.5;358.262714686;410.58532674;184.58586102;358.262714686
4.6;302.525019185;345.555442803;162.270740121;302.525019185
4.7;209.457724059;235.752465215;115.149514225;209.457724059
4.8;93.368623144;99.6574092629;42.2847870302;93.368623144
4.9;34.7977484685;11.4239631995;-26.8847182575;-34.7977484685
5.0;34.9263042818;3.97852636762;-32.4020839744;-34.9263042818
5.1;70.151605438;73.5589882817;26.309981094;70.151605438
5.2;163.66063575;180.93582048;87.9196026767;163.66063575
5.3;219.901062045;248.28275961;120.864471273;219.901062045
5.4;239.100479562;273.086231206;126.42686929;239.100479562
5.5;275.184572177;315.205420206;139.839680554;275.184572177
5.6;339.735448705;389.037275147;177.926859683;339.735448705
5.7;385.844584012;440.941180665;208.792616846;385.844584012
5.8;357.265917026;407.771594625;194.584297092;357.265917026
5.9;257.272121242;293.459098648;138.279716368;257.272121242
6.0;146.642871348;166.470216676;76.9771813883;146.642871348
6.1;84.3214001489;92.8117307712;41.9143485105;84.3214001489
6.2;82.8307012857;88.4908655532;37.1054910559;82.8307012857
6.3;100.661186036;107.363362897;45.686209707;100.661186036
6.4;100.433177633;105.876849629;41.3203666098;100.433177633
6.5;76.9909163426;80.0380247519;27.1708316278;76.9909163426
6.6;77.5668889135;86.477963204;38.1895573629;77.5668889135
6.7;184.3361293;210.869111832;90.7148902082;184.3361293
6.8;365.491754786;418.738852859;190.323720693;365.491754786
