n Reversals | S_r Stress Range (MPa) | S_0 Mean Stress (MPa)
------------------------------------------------------------
1.000000 | 2.951888 | 0.000000
1.000000 | 3.448502 | 82.846789
1.000000 | 25.405160 | 65.397151
1.000000 | 28.816603 | 87.790925
1.000000 | 35.943231 | 76.588956
1.000000 | 41.073066 | 92.856693
1.000000 | 53.295299 | 85.717364
1.000000 | 53.615941 | 91.243365
1.000000 | 60.336564 | 83.599816
1.000000 | 60.418584 | 90.207474
1.000000 | 61.672150 | 87.111581
1.000000 | 75.921145 | 92.899087
1.000000 | 87.043987 | 88.565172
1.000000 | 93.523747 | 92.926917
1.000000 | 103.471903 | 91.380325
1.000000 | 113.071415 | 93.378053
1.000000 | 123.191168 | 88.222356
1.000000 | 124.420874 | 94.386173
1.000000 | 134.110225 | 95.088557
0.500000 | 135.195700 | 99.516760
0.500000 | 143.697501 | 96.036312
1.000000 | 166.047501 | 95.618568
0.500000 | 168.464178 | 91.313602
1.000000 | 184.529743 | 94.221504
0.500000 | 193.439869 | 94.429888
0.500000 | 219.507555 | 97.764666
0.500000 | 275.163587 | 96.522124
1.000000 | 281.389565 | 97.523212
0.500000 | 318.890963 | 95.088457
0.500000 | 331.666167 | 94.185121
0.500000 | 375.106406 | 90.993744
0.500000 | 376.851354 | 93.190812
0.500000 | 379.434600 | 94.063819
0.500000 | 387.268558 | 95.632683
0.500000 | 405.282997 | 93.635764
0.500000 | 406.501084 | 95.205920
0.500000 | 407.251562 | 95.541043
0.500000 | 411.234237 | 96.616859
0.500000 | 425.410721 | 95.216663
1.000000 | 426.454242 | 96.472126
1.000000 | 435.198320 | 96.366461
0.500000 | 447.806061 | 97.535857
0.500000 | 448.752856 | 96.898274
1.000000 | 456.717625 | 97.106563
1.000000 | 459.850497 | 94.496718
0.500000 | 463.897394 | 97.982161
0.500000 | 475.709862 | 94.949463
0.500000 | 483.040081 | 97.905411
1.000000 | 484.625791 | 95.027489
0.500000 | 485.911618 | 92.323722
1.000000 | 495.635833 | 89.257298
0.500000 | 500.544813 | 92.609815
0.500000 | 506.322474 | 95.770755
1.000000 | 510.881494 | 98.952821
1.000000 | 524.132477 | 95.167332
1.000000 | 526.789477 | 99.513577
0.500000 | 539.678106 | 95.232934
1.000000 | 542.096066 | 99.729982
0.500000 | 546.585688 | 94.810424
1.000000 | 564.800638 | 99.346298
0.500000 | 565.321266 | 95.788769
0.500000 | 569.706835 | 100.288907
1.000000 | 577.146504 | 94.761089
0.500000 | 613.103909 | 99.981732
0.500000 | 622.760974 | 94.870736
1.000000 | 635.108169 | 99.703410
1.000000 | 639.942963 | 95.454236
1.000000 | 661.115215 | 99.635930
0.500000 | 672.553172 | 94.914891
0.500000 | 689.986339 | 99.315078
0.500000 | 693.587719 | 96.001428
0.500000 | 698.016151 | 98.793306
