n cycles | S_r Stress Range (MPa) | S_0 Mean Stress (MPa)
------------------------------------------------------------
1.000000 | 2.962173 | 0.000000
1.000000 | 13.235364 | -142.383174
1.000000 | 18.167758 | -141.211536
1.000000 | 29.052133 | -180.693298
1.000000 | 43.668702 | -189.860599
1.000000 | 72.608777 | -218.196721
1.000000 | 73.013125 | -232.198421
1.000000 | 90.885644 | -248.557870
1.000000 | 115.952181 | -202.887179
0.500000 | 145.898088 | -217.038479
1.000000 | 214.640875 | -221.979258
0.500000 | 224.205754 | -233.213920
1.000000 | 395.327598 | -212.310357
0.500000 | 525.390910 | -235.614001
0.500000 | 525.552363 | -204.901818
1.000000 | 565.389050 | -229.129751
0.500000 | 617.231071 | -174.610879
0.500000 | 636.568056 | -205.288393
1.000000 | 696.372586 | -165.465461
0.500000 | 701.039714 | -191.490786
1.000000 | 762.666935 | -187.065284
0.500000 | 763.630103 | -183.867908
0.500000 | 817.617486 | -168.207513
0.500000 | 852.055418 | -180.706553
1.000000 | 1237.319268 | -191.676256
0.500000 | 1241.734786 | -203.548331
0.500000 | 1290.239814 | -197.805933
0.500000 | 1424.497195 | -196.248713
0.500000 | 1433.940062 | -193.797090
0.500000 | 1502.152926 | -196.108670
0.500000 | 1926.649685 | -187.684556
0.500000 | 2132.438047 | -186.885193
0.500000 | 2478.618515 | -183.380166
0.500000 | 2496.776669 | -188.061431
0.500000 | 2597.758370 | -189.162275
0.500000 | 2703.269483 | -198.374325
1.000000 | 2714.226511 | -188.267546
0.500000 | 3057.215798 | -198.743288
0.500000 | 3481.947753 | -206.270204
0.500000 | 3617.794442 | -213.494829
